Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,AFG,11.2180004119873,11.2930002212524,11.4420003890991,11.470000267028801,11.4770002365112,11.498999595642099,11.479999542236301,11.4720001220703,11.546999931335401,11.5170001983643,11.5129995346069,11.5959997177124,11.604000091552699,11.5279998779297,11.4289999008179,11.2239999771118,11.045999526977502,10.984999656677198,11.387000083923303,11.4840002059937,11.487999916076697,11.508000373840302,11.5340003967285,11.447999954223599,11.387000083923303,11.312999725341802,11.184000015258801,11.057000160217301,11.1180000305176,11.163999557495101
Angola,AGO,3.70799994468689,3.74000000953674,3.8039999008178698,3.8159999847412096,3.81900000572205,3.8289999961852996,3.8210000991821302,3.81800007820129,3.8499999046325697,3.83699989318848,3.8350000381469704,3.87100005149841,3.875,3.8420000076293905,3.79999995231628,3.71199989318848,3.63700008392334,3.61199998855591,3.78200006484985,9.43000030517578,7.361999988555911,7.37900018692017,7.400000095367429,7.330999851226809,7.28200006484985,7.22300004959106,7.11899995803833,7.019000053405759,6.8860001564025906,6.77400016784668
Albania,ALB,16.1900005340576,16.2859992980957,16.4780006408691,16.511999130249,16.5219993591309,16.5499992370605,16.5249996185303,16.5160007476807,16.6110000610352,16.5729999542236,16.5669994354248,16.6730003356934,16.6840000152588,16.5860004425049,16.4599990844727,16.195999145507802,15.9659996032715,13.0600004196167,13.673999786377001,14.086000442504899,13.480999946594201,13.376000404357901,15.8660001754761,17.4899997711182,17.0799999237061,15.220000267028801,13.75,12.3400001525879,12.331000328064,12.812999725341802
Arab World,ARB,11.4488730755021,11.950842155733499,12.7578354470942,12.891820876967799,13.174894296658401,12.338867977145501,11.827323225775098,11.8603294819787,11.9928192516681,12.4241069978755,12.2897416577053,12.3028733083596,12.263542000691302,11.2508872567337,11.069918932697101,10.252185811018,9.788912200678029,9.45278599406514,9.15279419038916,9.24813497006807,10.2846890547939,10.4907725198761,10.574131052529301,10.6546267481255,10.6753196937496,10.450944914784198,10.6413131629946,10.563344261297301,10.3369462233629,10.1914721927035
United Arab Emirates,ARE,1.58000004291534,1.6349999904632602,1.9179999828338603,1.82000005245209,1.79999995231628,2.0,2.0320000648498504,2.0929999351501496,2.2430000305175803,2.25,2.41100001335144,2.71499991416931,2.98799991607666,3.17600011825562,3.1199998855590803,2.7030000686645494,2.0810000896453897,1.9559999704361,2.33100008964539,2.53299999237061,2.49600005149841,2.5090000629425,2.57599997520447,2.2119998931884797,1.9099999666213998,1.6360000371933001,2.46300005912781,2.22900009155273,2.34800004959106,2.44700002670288
Argentina,ARG,5.44000005722046,6.360000133514401,10.1000003814697,11.7600002288818,18.7999992370605,17.1100006103516,14.8199996948242,12.6499996185303,14.0500001907349,15.0,17.3199996948242,19.590000152587898,15.359999656677198,13.522000312805199,11.5059995651245,10.0769996643066,8.47000026702881,7.83699989318848,8.64500045776367,7.71400022506714,7.17999982833862,7.21700000762939,7.099999904632571,7.26800012588501,7.75,7.9770002365112305,8.34700012207031,9.22000026702881,9.788999557495119,10.435999870300302
Armenia,ARM,1.60000002384186,1.79999995231628,5.300000190734861,6.599999904632571,6.699999809265139,9.30000019073486,10.8000001907349,9.39999961853027,11.1999998092651,11.0539999008179,10.9329996109009,10.8920001983643,10.7829999923706,10.597999572753901,10.392999649047901,10.0900001525879,9.8120002746582,13.4750003814697,18.436000823974602,19.007999420165998,18.443000793457,17.3010005950928,16.179000854492198,17.497999191284197,18.260999679565398,17.617000579834002,17.7049999237061,17.496000289917,16.9899997711182,16.625
Australia,AUS,9.579000473022461,10.7290000915527,10.873999595642099,9.7189998626709,8.4689998626709,8.50599956512451,8.36200046539307,7.67600011825562,6.872000217437741,6.28299999237061,6.74200010299683,6.368000030517581,5.92899990081787,5.39499998092651,5.032000064849849,4.782000064849849,4.3769998550414995,4.23400020599365,5.56099987030029,5.21099996566772,5.080999851226809,5.223999977111821,5.662000179290769,6.0770001411438,6.05399990081787,5.71000003814697,5.59100008010864,5.2979998588562,5.26800012588501,5.32800006866455
Austria,AUT,3.42000007629395,3.58999991416931,4.25,3.53500008583069,4.34700012207031,5.2810001373291,5.14900016784668,5.5229997634887695,4.69799995422363,4.6869997978210405,4.00699996948242,4.848999977111821,4.77899980545044,5.83400011062622,5.627999782562259,5.24300003051758,4.85799980163574,4.12799978256226,5.30100011825562,4.82000017166138,4.56400012969971,4.86499977111816,5.33500003814697,5.619999885559079,5.72300004959106,6.01399993896484,5.499000072479251,4.84800004959106,4.6739997863769505,4.77899980545044
Azerbaijan,AZE,0.8999999761581421,1.79999995231628,4.5,6.300000190734861,7.199999809265139,8.10000038146973,9.10000038146973,10.0,10.8999996185303,11.8000001907349,10.8999996185303,10.0,9.25,8.0,7.300000190734861,6.619999885559079,6.53999996185303,6.050000190734861,5.7399997711181605,5.630000114440921,5.42000007629395,5.19000005722046,4.96999979019165,4.90999984741211,4.96000003814697,5.0,5.0,4.90000009536743,5.508999824523929,5.96000003814697
