Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,11.2180004119873,11.2930002212524,11.4420003890991,11.470000267028801,11.4770002365112,11.498999595642099,11.479999542236301,11.4720001220703,11.546999931335401,11.5170001983643,11.5129995346069,11.5959997177124,11.604000091552699,11.5279998779297,11.4289999008179,11.2239999771118,11.045999526977502,10.984999656677198,11.387000083923303,11.4840002059937,11.487999916076697,11.508000373840302,11.5340003967285,11.447999954223599,11.387000083923303,11.312999725341802,11.184000015258801,11.057000160217301,11.1180000305176,11.163999557495101
United Arab Emirates,1.58000004291534,1.6349999904632602,1.9179999828338603,1.82000005245209,1.79999995231628,2.0,2.0320000648498504,2.0929999351501496,2.2430000305175803,2.25,2.41100001335144,2.71499991416931,2.98799991607666,3.17600011825562,3.1199998855590803,2.7030000686645494,2.0810000896453897,1.9559999704361,2.33100008964539,2.53299999237061,2.49600005149841,2.5090000629425,2.57599997520447,2.2119998931884797,1.9099999666213998,1.6360000371933001,2.46300005912781,2.22900009155273,2.34800004959106,2.44700002670288
Argentina,5.44000005722046,6.360000133514401,10.1000003814697,11.7600002288818,18.7999992370605,17.1100006103516,14.8199996948242,12.6499996185303,14.0500001907349,15.0,17.3199996948242,19.590000152587898,15.359999656677198,13.522000312805199,11.5059995651245,10.0769996643066,8.47000026702881,7.83699989318848,8.64500045776367,7.71400022506714,7.17999982833862,7.21700000762939,7.099999904632571,7.26800012588501,7.75,7.9770002365112305,8.34700012207031,9.22000026702881,9.788999557495119,10.435999870300302
Australia,9.579000473022461,10.7290000915527,10.873999595642099,9.7189998626709,8.4689998626709,8.50599956512451,8.36200046539307,7.67600011825562,6.872000217437741,6.28299999237061,6.74200010299683,6.368000030517581,5.92899990081787,5.39499998092651,5.032000064849849,4.782000064849849,4.3769998550414995,4.23400020599365,5.56099987030029,5.21099996566772,5.080999851226809,5.223999977111821,5.662000179290769,6.0770001411438,6.05399990081787,5.71000003814697,5.59100008010864,5.2979998588562,5.26800012588501,5.32800006866455
Austria,3.42000007629395,3.58999991416931,4.25,3.53500008583069,4.34700012207031,5.2810001373291,5.14900016784668,5.5229997634887695,4.69799995422363,4.6869997978210405,4.00699996948242,4.848999977111821,4.77899980545044,5.83400011062622,5.627999782562259,5.24300003051758,4.85799980163574,4.12799978256226,5.30100011825562,4.82000017166138,4.56400012969971,4.86499977111816,5.33500003814697,5.619999885559079,5.72300004959106,6.01399993896484,5.499000072479251,4.84800004959106,4.6739997863769505,4.77899980545044
Burundi,1.74399995803833,1.77799999713898,1.84700000286102,1.85899996757507,1.86099994182587,1.8710000514984098,1.86099994182587,1.85699999332428,1.8919999599456798,1.87600004673004,1.8730000257492099,1.91199994087219,1.91499996185303,1.8780000209808303,1.8320000171661397,1.73800003528595,1.6590000391006499,1.63399994373322,1.76400005817413,1.7599999904632602,1.7150000333786002,1.67799997329712,1.64400005340576,1.57200002670288,1.55200004577637,1.52799999713898,1.48699998855591,1.44799995422363,1.42700004577637,1.4079999923706101
Belgium,6.98600006103516,6.7020001411438,8.076999664306639,9.64700031280518,9.33899974822998,9.48299980163574,8.956000328063961,9.322999954223631,8.64900016784668,6.58599996566772,6.17700004577637,6.90899991989136,7.67999982833862,7.36299991607666,8.439999580383299,8.24600028991699,7.45800018310547,6.97599983215332,7.90799999237061,8.29199981689453,7.139999866485599,7.54199981689453,8.425000190734862,8.52299976348877,8.48200035095215,7.82999992370605,7.08599996566772,5.94799995422363,5.58900022506714,5.69199991226196
Bangladesh,2.2000000476837203,2.26699995994568,2.35999989509583,2.41199994087219,2.45799994468689,2.50999999046326,2.68099999427795,2.86299991607666,3.0850000381469704,3.2699999809265097,3.5859999656677206,3.96399998664856,4.32000017166138,4.2930002212524405,4.25,3.5910000801086404,3.88800001144409,4.26700019836426,5.0,3.37899994850159,3.70499992370605,4.05499982833862,4.42600011825562,4.394999980926509,4.37799978256226,4.349999904632569,4.37200021743774,4.281000137329101,4.19000005722046,4.15100002288818
Bulgaria,13.3909997940063,13.479000091552699,13.652000427246099,13.6850004196167,13.694000244140598,13.7209997177124,13.6999998092651,12.1999998092651,14.1000003814697,16.2180004119873,19.9209995269775,18.1089992523193,13.7329998016357,12.036999702453599,10.083000183105499,8.95100021362305,6.877999782562259,5.60900020599365,6.81699991226196,10.2790002822876,11.2600002288818,12.270000457763699,12.940999984741199,11.423999786377001,9.14299964904785,7.574999809265139,6.16400003433228,5.21099996566772,4.34000015258789,3.8499999046325697
"Bahamas, The",12.1700000762939,14.8100004196167,12.720000267028801,13.8299999237061,10.8299999237061,11.460000038147,9.76000022888184,7.650000095367429,7.449999809265139,6.96199989318848,6.869999885559079,9.05000019073486,10.8400001525879,10.1999998092651,10.1999998092651,7.53999996185303,7.880000114440921,8.18000030517578,14.25,14.836000442504899,14.520000457763699,14.020000457763699,16.1800003051758,13.8000001907349,12.0,12.6999998092651,9.80000019073486,10.0,10.3599996566772,11.270000457763699
Bosnia and Herzegovina,17.5499992370605,18.4130001068115,19.3799991607666,20.2399997711182,21.0960006713867,21.989000320434602,22.847999572753896,23.738000869751,24.760000228881804,25.655000686645497,26.6019992828369,27.7040004730225,28.7099990844727,29.5939998626709,30.44700050354,31.1100006103516,28.983999252319304,23.405000686645497,24.068000793457,27.3120002746582,27.5820007324219,28.010000228881804,27.4500007629395,27.5170001983643,27.6940002441406,25.408000946044897,20.5270004272461,18.3999996185303,18.4249992370605,18.4379997253418
